Year,Donations,Attendance,Suiters,Charity,Theme
1997,2200,300,,Therapy Dogs/K9 Friends,An East Coast Furry Con
1998,3092,600,,Whiskers,Here Be Dragons
1999,3600,845,,Great Vallery Nature Center,The Furry Revolution
2000,6534,1128,,The National Greyhound Adoption Program,Furries of Myth and Legend
2001,7237,1457,,Reins of Life,Furries in FLight
2002,13280,1648,,Canine PArtners for Life,Invention
2003,8348,1949,,Support Our Shelters,Creatures of the Night
2004,7200,2404,,Forgotten Felines & Fidos (FFF),Summer Games
2005,6470,2370,140,Greater Philadelphia Search & Rescue,Heroes
2006,8407,2489,191,Western Pennsylvania National Wild Animal Orphanage,Making History
2007,7608,2849,353,Animal Friends,Looking to the Future
2008,13154,3390,453,Pittsburgh Parrot Rescue,It's a jungle out there!
2009,8992,3777,640,Animal Rescue League Wildlife Rehabilitaion Center,OMG Aliens!
2010,12849,4238,713,Fayette Friends of Animals,Modern Stone-Age Furries
2011,11522,4400,854,The Toonseum,The Anthropomorphic Institue of Magic
2012,20656,5179,1044,Hello Bully,A midsummer Night's Dream
2013,31255,5577,1300,Equine Angels Rescue,The Fast and the Furrious
2014,32372,5861,1326,The National Aviary,Secret Societies
2015,35910,6348,1460,The Western PA Humane Society,Viking Invasion!
2016,32579,7308,2100,The Pittsburgh Zoo,Roaring Twenty
2017,37598,7544,1890,Hope Haven Farm Sanctuary,Take Me Out To The Ballgame
2018,42051,8407,1980,South Hills Pet Rescue,Movie Monsters
2019,45852,9358,2132,PEARL Parrot Rescure,Surf Pacific
