Year,Donations,Attendance,Suiters,Charity,Theme
1995,,19,,,
1996,,35,,,
1997,,59,,,
1998,,80,,,
1999,,117,,,
2000,,149,,,
2001,,230,,,
2002,,260,,,Furry Intelligence Agency
2003,,165,,,Cunning Little Vixens
2004,,295,,,EFX: The Movie
2005,,380,,,Songs of the Old Ages
2006,,405,,,The Hounds of Blackwhite Castle
2007,1913.95,585,,Waldzoo Offenbach,The Unlucky Thirteen
2008,3703.07,777,,National Fox Welfare Society,Horrorfurence: From Dusk till Dawn
2009,3100.44,911,,Tierpark Suhl,1001 Arabian Nights
2010,6089.14,973,251,Gnadenhof Emmrich,Serengeti
2011,9201.05,1066,,Raubkatzenasyl,Kung Fur Hustle
2012,13983.24,1231,335,Far from Fear e.V.,Animalia Romana
2013,20370.82,1376,,Wildtierhilfe Fiel e.V.,Aloha Hawaii
2014,22242.56,2015,,Stiftung Fledermaus,CSI Berlin
2015,33763.20,2095,,Wildtierhilfe Fiel e.V.,Greenhouse World
2016,45416.78,2573,,Painted Dog Conservation,Back to the 80's
2017,42297.90,2804,,Sieben Katzleben,Ancient Egypt
2018,43259.10,2911,,Lemurs of Madagascar,Aviators - Conquer the Sky!
2019,44425.38,3579,,Foundation Lutreola,Fractures in Time
