Year,Donations,Attendance,Suiters,Charity,Theme
1999,3500,691,,Therapy Pets,Paws Across the Bay
2000,6000,987,,Cartoon Art Museum,FCY2K
2001,7240,1114,,The Oakland Zoo,A Furry Odyssey
2002,5200,1137,,Tiger Touch,Further Confusion University
2003,6000,1202,,Pets Are Wonderful Support,Furries in Wonderland
2004,10000,1411,,Bay Area Bears,The Great Outdoors
2005,10000,1712,,Therapy Pets,Furries of the Nile
2006,15000,1911,208,Wildlife Companions,Renfur: A Knight's Tail
2007,16000,2062,287,Golden State Greyhounds,Fur Your Eyes Only
2008,22000,2423,387,House Rabbit Society,The Fur East
2009,16000,2587,530,Guide Dogs for the Blnd,Surf Safari
2010,18114,2770,479,Therapy Pets,Gold Rush
2011,8000,2801,477,House Rabbit Society,Southern Crossings: Furries gone wild!
2012,7000,3021,458,Town Cats of Morgan,The Infurmary
2013,10444,3380,560,Cat House on the King,The Furbidden Planet
2014,9000,3587,643,The Digital Game Museum,Further Confusion vs. The World
2015,7000,3527,643,Rocket Dog Rescue,London Fog: A Victorian Murder Mystery
2016,6000,3536,760,National Alliance on Mental Illness Santa Clara,Cafe FC: A Classic American Diner
2017,22000,3515,685,Nine Lives Foundation,Going Places
2018,15055,3415,570,Silicon Valley Pet Project,Furtastic Beasts and Where to Find Them
2019,18000,3850,652,Wildlife Center of Silicon Valley,Going to the Fair!
2020,20452,4509,742,Billy DeFrank,Cyberpunk: Neo San Jose
